acquisition_duration,acquisition_period,acquisition_time,altitude,ambient_magnetic_field_x,ambient_magnetic_field_y,ambient_magnetic_field_z,ambient_temperature,device_arch,device_os,device_user_agent,event_id,latitude,longitude,minbias,sensor_id,roll,pitch,yaw,atmospheric_pressure,relative_humidity,path
1278,0,2015-07-06 14:56:13.652000,226,13,13.9375,-45.9375,,armv7l,2.6.32.21-g7a207a4,Dalvik/1.2.0 (Linux; U; Android 2.2; PB99400 Build/FRF91),223424418,43.06,-89.44,0,DECO-ffffffff-85e3-b427-9611-987d0033c587,-1,0,319,,,2015.07.07/223424418_medium.png
1166,0,2015-07-06 16:52:07.019000,267,13,13.9375,-45.9375,,armv7l,2.6.32.21-g7a207a4,Dalvik/1.2.0 (Linux; U; Android 2.2; PB99400 Build/FRF91),223428537,43.06,-89.44,0,DECO-ffffffff-85e3-b427-9611-987d0033c587,-1,0,319,,,2015.07.07/223428537.png
1287,0,2015-07-06 23:14:23.583000,283,13,13.9375,-45.9375,,armv7l,2.6.32.21-g7a207a4,Dalvik/1.2.0 (Linux; U; Android 2.2; PB99400 Build/FRF91),223442442,43.06,-89.44,0,DECO-ffffffff-85e3-b427-9611-987d0033c587,-1,0,319,,,2015.07.07/223442442.png
1125,0,2015-07-07 08:50:13.009000,271,3.8125,1.5625,-47.8125,,armv7l,2.6.32.21-g7a207a4,Dalvik/1.2.0 (Linux; U; Android 2.2; PB99400 Build/FRF91),223462603,43.06,-89.44,0,DECO-ffffffff-85e3-b427-9611-987d0033c587,0,-7,341,,,2015.07.08/223462603.png
1288,0,2015-07-08 04:58:28.022000,236,3.8125,1.5625,-47.8125,,armv7l,2.6.32.21-g7a207a4,Dalvik/1.2.0 (Linux; U; Android 2.2; PB99400 Build/FRF91),223506055,43.06,-89.44,0,DECO-ffffffff-85e3-b427-9611-987d0033c587,0,-7,341,,,2015.07.08/223506055.png
1126,0,2015-07-08 09:45:48.719000,253,3.8125,1.5625,-47.8125,,armv7l,2.6.32.21-g7a207a4,Dalvik/1.2.0 (Linux; U; Android 2.2; PB99400 Build/FRF91),223515764,43.06,-89.44,0,DECO-ffffffff-85e3-b427-9611-987d0033c587,0,-7,341,,,2015.07.09/223515764.png
965,0,2015-07-09 02:13:51.462000,237,-22,194.9375,142.75,,armv7l,3.4.42-g19638c4,Dalvik/2.1.0 (Linux; U; Android 5.1; XT1096 Build/LPE23.32-25-3),223552780,43.07,-89.39,0,DECO-ffffffff-84c2-5db2-8e25-612a58eb754a,0.078125,-2.1875,6.796875,,,2015.07.09/223552780_medium.png
1017,0,2015-07-09 06:06:23.485000,230,-22.4375,195.125,142.5,,armv7l,3.4.42-g19638c4,Dalvik/2.1.0 (Linux; U; Android 5.1; XT1096 Build/LPE23.32-25-3),223552948,43.07,-89.39,0,DECO-ffffffff-84c2-5db2-8e25-612a58eb754a,0.078125,-2.046875,6.734375,,,2015.07.09/223552948_medium.png
1113,0,2015-07-09 06:55:56.565000,391,-22.625,195.4375,143.0625,,armv7l,3.4.42-g19638c4,Dalvik/2.1.0 (Linux; U; Android 5.1; XT1096 Build/LPE23.32-25-3),223553571,43.07,-89.39,0,DECO-ffffffff-84c2-5db2-8e25-612a58eb754a,0.171875,-1.796875,6.75,,,2015.07.09/223553571_medium.png
992,0,2015-07-09 09:23:33.478000,216.39999389648,-54.411998748779,54.706001281738,-68.823997497559,,armv7l,3.0.8-1264835,Dalvik/1.6.0 (Linux; U; Android 4.0.4; GT-S7560 Build/IMM76I),223559181,48.61,7.69,0,DECO-ffffffff-f39f-524d-ad00-ca6f1237c76a,-1,2,47,,,2015.07.10/223559181_medium.png
992,0,2015-07-09 10:15:07.659000,216.39999389648,-54.706001281738,54.706001281738,-68.823997497559,,armv7l,3.0.8-1264835,Dalvik/1.6.0 (Linux; U; Android 4.0.4; GT-S7560 Build/IMM76I),223561146,48.61,7.69,0,DECO-ffffffff-f39f-524d-ad00-ca6f1237c76a,0,3,47,,,2015.07.10/223561146.png
